Evaporator Area,Condenser Area,Compressor Design Flow,Capacity,Outside Air Temperature,Success,Annual Operating Cost,Annualized Capital Cost,Annualized Capital Compressor Cost,Annualized Capital Evaporator Cost,Annualized Capital Condenser Cost,Total Annualized Cost,Total Equp Cost,Experimental Op Cost
20,45,135,160,34,FALSE,0,0,0,0,0,0,0,
20,45,150,160,34,FALSE,0,0,0,0,0,0,0,
20,40,15,160,34,FALSE,0,0,0,0,0,0,0,
20,40,30,160,34,FALSE,0,0,0,0,0,0,0,
20,40,45,160,34,FALSE,0,0,0,0,0,0,0,
20,40,60,160,34,FALSE,0,0,0,0,0,0,0,
20,40,75,160,34,FALSE,0,0,0,0,0,0,0,
20,40,90,160,34,FALSE,0,0,0,0,0,0,0,
20,40,105,160,34,FALSE,0,0,0,0,0,0,0,
20,40,120,160,34,FALSE,0,0,0,0,0,0,0,
20,40,135,160,34,FALSE,0,0,0,0,0,0,0,
20,40,150,160,34,FALSE,0,0,0,0,0,0,0,
20,35,15,160,34,FALSE,0,0,0,0,0,0,0,
20,35,30,160,34,FALSE,0,0,0,0,0,0,0,
20,35,45,160,34,FALSE,0,0,0,0,0,0,0,
20,35,60,160,34,FALSE,0,0,0,0,0,0,0,
20,35,75,160,34,FALSE,0,0,0,0,0,0,0,
20,35,90,160,34,FALSE,0,0,0,0,0,0,0,
20,35,105,160,34,FALSE,0,0,0,0,0,0,0,
20,35,120,160,34,FALSE,0,0,0,0,0,0,0,
20,35,135,160,34,FALSE,0,0,0,0,0,0,0,
20,35,150,160,34,FALSE,0,0,0,0,0,0,0,
20,30,15,160,34,FALSE,0,0,0,0,0,0,0,
20,30,30,160,34,FALSE,0,0,0,0,0,0,0,
20,30,45,160,34,FALSE,0,0,0,0,0,0,0,
20,30,60,160,34,FALSE,0,0,0,0,0,0,0,
20,30,75,160,34,FALSE,0,0,0,0,0,0,0,
20,30,90,160,34,FALSE,0,0,0,0,0,0,0,
20,30,105,160,34,FALSE,0,0,0,0,0,0,0,
20,30,120,160,34,FALSE,0,0,0,0,0,0,0,
20,30,135,160,34,FALSE,0,0,0,0,0,0,0,
20,30,150,160,34,FALSE,0,0,0,0,0,0,0,
20,25,15,160,34,FALSE,0,0,0,0,0,0,0,
20,25,30,160,34,FALSE,0,0,0,0,0,0,0,
20,25,45,160,34,FALSE,0,0,0,0,0,0,0,
20,25,60,160,34,FALSE,0,0,0,0,0,0,0,
20,25,75,160,34,FALSE,0,0,0,0,0,0,0,
20,25,90,160,34,FALSE,0,0,0,0,0,0,0,
20,25,105,160,34,FALSE,0,0,0,0,0,0,0,
20,25,120,160,34,FALSE,0,0,0,0,0,0,0,
20,25,135,160,34,FALSE,0,0,0,0,0,0,0,
20,25,150,160,34,FALSE,0,0,0,0,0,0,0,
20,20,15,160,34,FALSE,0,0,0,0,0,0,0,
20,20,30,160,34,FALSE,0,0,0,0,0,0,0,
20,20,45,160,34,FALSE,0,0,0,0,0,0,0,
20,20,60,160,34,FALSE,0,0,0,0,0,0,0,
20,20,75,160,34,FALSE,0,0,0,0,0,0,0,
20,20,90,160,34,FALSE,0,0,0,0,0,0,0,
20,20,105,160,34,FALSE,0,0,0,0,0,0,0,
20,20,120,160,34,FALSE,0,0,0,0,0,0,0,
20,20,135,160,34,FALSE,0,0,0,0,0,0,0,
20,20,150,160,34,FALSE,0,0,0,0,0,0,0,
110,85,15,160,35,FALSE,0,0,0,0,0,0,0,
